date,blue_particulate_matter_470nm
2025-01-09,2.425
2025-01-10,6.56
2025-01-11,6.15
2025-01-12,3.133
2025-01-13,3.483
2025-01-14,0.78
2025-01-15,1.79
2025-01-16,2.21
2025-01-17,1.443
2025-01-18,1.193
2025-01-19,1.613
2025-01-20,2.46
2025-01-21,1.853
2025-01-22,3.34
2025-01-23,1.2
2025-01-24,0.83
2025-01-25,1.113
2025-01-26,0.59
2025-01-27,0.695
2025-01-28,1.13
2025-01-29,1.313
2025-01-30,1.5
2025-01-31,0.72
2025-02-01,0.26
2025-02-02,0.2
2025-02-03,0.833
2025-02-04,0.473
2025-02-05,2.82
2025-02-06,2.43
2025-02-07,0.52
2025-02-08,1.337
2025-02-09,1.805
2025-02-10,1.125
2025-02-11,1.55
2025-02-12,2.15
2025-02-13,1.335
2025-02-14,1.28
2025-02-15,1.923
2025-02-16,1.45
2025-02-17,0.98
2025-02-18,1.28
2025-02-19,2.4
2025-02-20,0.75
2025-02-21,0.647
2025-02-22,1.06
2025-02-23,0.495
2025-02-24,0.805
2025-02-25,0.76
2025-02-26,0.677
2025-02-27,0.955
2025-02-28,2.535
2025-03-01,4.09
2025-03-02,3.805
2025-03-03,2.05
2025-03-04,1.937
2025-03-05,1.78
2025-03-06,2.325
2025-03-07,1.27
2025-03-08,2.06
2025-03-09,2.295
2025-03-10,2.433
2025-03-11,0.66
2025-03-12,0.923
2025-03-13,0.665
2025-03-14,0.82
2025-03-15,0.613
2025-03-16,0.667
2025-03-17,0.577
2025-03-18,0.74
2025-03-19,3.307
2025-03-20,4.67
2025-03-21,1.595
2025-03-22,0.91
2025-03-23,1.205
2025-03-24,1.9
2025-03-25,0.907
2025-03-26,1.207
2025-03-27,0.673
2025-03-28,0.665
2025-03-29,0.65
2025-03-30,0.523
2025-03-31,1.725
2025-04-01,0.53
2025-04-02,0.67
2025-04-03,1.255
2025-04-04,0.86
2025-04-05,0.44
2025-04-06,0.49
2025-04-07,0.74
2025-04-08,1.13
2025-04-09,1.07
2025-04-10,2.2
2025-04-11,0.99
2025-04-12,1.85
2025-04-13,0.74
2025-04-14,0.87
2025-04-15,0.945
2025-04-16,0.84
2025-04-17,1.11
2025-04-18,0.865
2025-04-19,1.36
2025-04-20,0.76
2025-04-21,1.45
2025-04-22,1.56
2025-04-23,1.135
2025-04-24,1.184
2025-04-25,0.9
2025-04-26,1.315
2025-04-27,0.93
2025-04-28,2.88
2025-04-29,2.11
2025-04-30,2.145
2025-05-01,1.775
2025-05-02,1.12
2025-05-03,0.645
2025-05-04,0.295
2025-05-05,0.387
2025-05-06,0.657
2025-05-07,0.93
2025-05-08,0.36
2025-05-09,0.85
2025-05-10,1.113
2025-05-11,0.94
2025-05-12,1.303
2025-05-13,0.653
2025-05-14,0.647
2025-05-15,0.587
2025-05-16,0.87
2025-05-18,0.826
2025-05-19,0.67
2025-05-20,0.68
2025-05-21,0.605
2025-05-22,0.57
2025-05-23,0.835
2025-05-24,0.83
2025-05-25,0.33
2025-05-26,0.32
2025-05-27,0.21
2025-05-28,0.37
2025-05-29,0.55
2025-05-30,0.75
2025-05-31,0.785
2025-06-01,0.363
2025-06-02,0.54
2025-06-03,0.39
2025-06-04,0.457
2025-06-05,0.91
2025-06-06,0.599
2025-06-07,0.3
2025-06-08,0.355
