date,PM10
2024-11-24,6.5
2024-11-25,9.667
2024-11-26,14.333
2024-11-27,12.917
2024-11-28,17.667
2024-11-29,11.0
2024-11-30,11.167
2024-12-01,6.917
2024-12-02,5.417
2024-12-03,14.833
2024-12-04,10.917
2024-12-05,4.333
2024-12-06,13.583
2024-12-07,4.583
2024-12-08,4.417
2024-12-09,9.333
2024-12-10,10.917
2024-12-11,9.667
2024-12-12,8.833
2024-12-13,11.0
2024-12-14,7.75
2024-12-15,2.5
2024-12-16,5.667
2024-12-17,7.833
2024-12-18,5.333
2024-12-19,6.917
2024-12-20,8.583
2024-12-21,8.5
2024-12-22,12.833
2024-12-23,13.5
2024-12-24,5.583
2024-12-25,5.083
2024-12-26,4.417
2024-12-27,5.083
2024-12-28,6.333
2024-12-29,4.25
2024-12-30,2.917
2024-12-31,3.833
2025-01-01,4.75
2025-01-02,11.333
2025-01-03,9.417
2025-01-04,12.333
2025-01-05,4.833
2025-01-06,4.333
2025-01-07,7.333
2025-01-08,15.0
2025-01-09,15.083
2025-01-10,24.75
2025-01-11,32.25
2025-01-12,23.167
2025-01-13,9.833
2025-01-14,10.583
2025-01-15,13.083
2025-01-16,15.417
2025-01-17,17.417
2025-01-18,23.417
2025-01-19,20.75
2025-01-20,25.0
2025-01-21,20.583
2025-01-22,28.667
2025-01-23,11.0
2025-01-24,20.0
2025-01-25,13.083
2025-01-26,7.5
2025-01-27,9.5
2025-01-28,6.583
2025-01-29,10.083
2025-01-30,12.583
2025-01-31,12.417
2025-02-01,13.917
2025-02-02,11.667
2025-02-03,13.167
2025-02-04,9.083
2025-02-05,18.0
2025-02-06,17.833
2025-02-07,13.417
2025-02-08,25.917
2025-02-09,33.167
2025-02-10,19.833
2025-02-11,25.417
2025-02-12,30.167
2025-02-13,22.917
2025-02-14,23.417
2025-02-15,30.833
2025-02-16,24.583
2025-02-17,21.917
2025-02-18,28.75
2025-02-19,37.667
2025-02-20,6.833
2025-02-21,7.0
2025-02-22,13.417
2025-02-23,7.167
2025-02-24,8.583
2025-02-25,12.333
2025-02-26,8.083
2025-02-27,9.833
2025-02-28,20.083
2025-03-01,25.0
2025-03-02,23.917
2025-03-03,20.5
2025-03-04,22.333
2025-03-05,26.167
2025-03-06,35.333
2025-03-07,23.333
2025-03-08,25.917
2025-03-09,42.583
2025-03-10,55.333
2025-03-11,13.083
2025-03-12,8.417
2025-03-13,9.333
2025-03-14,12.417
2025-03-15,9.75
2025-03-16,9.25
2025-03-17,12.917
2025-03-18,18.75
2025-03-19,40.583
2025-03-20,33.0
2025-03-21,35.167
2025-03-22,21.167
2025-03-23,30.083
2025-03-24,42.083
2025-03-25,17.154
2025-03-26,15.917
2025-03-27,9.417
2025-03-28,7.75
2025-03-29,8.583
2025-03-30,16.0
2025-03-31,17.923
2025-04-01,13.0
2025-04-02,16.077
2025-04-03,28.692
2025-04-04,28.385
2025-04-05,14.385
2025-04-06,11.308
2025-04-07,13.923
2025-04-08,18.462
2025-04-09,21.0
2025-04-10,28.385
2025-04-11,31.846
2025-04-12,27.385
2025-04-13,10.308
2025-04-14,9.308
2025-04-15,12.308
2025-04-16,8.308
2025-04-17,9.0
2025-04-18,11.538
2025-04-19,15.462
2025-04-20,10.077
2025-04-21,9.923
2025-04-22,9.154
2025-04-23,9.846
2025-04-24,16.077
2025-04-25,14.833
2025-04-26,23.333
2025-04-27,11.667
2025-04-28,11.5
2025-04-29,20.833
2025-04-30,21.75
2025-05-01,23.75
2025-05-02,16.25
2025-05-03,12.667
2025-05-04,7.917
2025-05-05,9.75
2025-05-06,11.667
2025-05-07,16.0
2025-05-08,9.833
2025-05-09,13.25
2025-05-10,13.462
2025-05-11,13.077
2025-05-12,16.231
2025-05-13,16.846
2025-05-14,18.462
2025-05-15,20.929
2025-05-16,19.357
2025-05-17,15.5
2025-05-18,18.5
2025-05-19,17.143
2025-05-20,14.857
2025-05-21,18.929
2025-05-22,17.714
2025-05-23,12.786
2025-05-24,8.714
2025-05-25,7.929
2025-05-26,7.643
2025-05-27,7.071
2025-05-28,6.929
2025-05-29,6.857
2025-05-30,5.643
2025-05-31,6.429
2025-06-01,9.571
2025-06-02,10.571
2025-06-03,8.643
2025-06-04,11.643
2025-06-05,4.643
2025-06-06,6.429
2025-06-07,5.214
2025-06-08,10.143
