date,acute_respiratory_infection_counts
2024-09-09,138.0
2024-09-10,131.0
2024-09-11,130.0
2024-09-12,159.0
2024-09-13,139.0
2024-09-14,144.0
2024-09-15,145.0
2024-09-16,182.0
2024-09-17,128.0
2024-09-18,175.0
2024-09-19,173.0
2024-09-20,159.0
2024-09-21,158.0
2024-09-22,199.0
2024-09-23,240.0
2024-09-24,199.0
2024-09-25,171.0
2024-09-26,206.0
2024-09-27,173.0
2024-09-28,179.0
2024-09-29,189.0
2024-09-30,238.0
2024-10-01,186.0
2024-10-02,173.0
2024-10-03,159.0
2024-10-04,212.0
2024-10-05,191.0
2024-10-06,208.0
2024-10-07,247.0
2024-10-08,232.0
2024-10-09,226.0
2024-10-10,235.0
2024-10-11,191.0
2024-10-12,195.0
2024-10-13,209.0
2024-10-14,234.0
2024-10-15,213.0
2024-10-16,253.0
2024-10-17,225.0
2024-10-18,201.0
2024-10-19,211.0
2024-10-20,220.0
2024-10-21,234.0
2024-10-22,237.0
2024-10-23,223.0
2024-10-24,248.0
2024-10-25,222.0
2024-10-26,239.0
2024-10-27,233.0
2024-10-28,276.0
2024-10-29,225.0
2024-10-30,237.0
2024-10-31,229.0
2024-11-01,256.0
2024-11-02,267.0
2024-11-03,260.0
2024-11-04,291.0
2024-11-05,265.0
2024-11-06,249.0
2024-11-07,238.0
2024-11-08,282.0
2024-11-09,249.0
2024-11-10,253.0
2024-11-11,274.0
2024-11-12,256.0
2024-11-13,274.0
2024-11-14,269.0
2024-11-15,284.0
2024-11-16,300.0
2024-11-17,323.0
2024-11-18,369.0
2024-11-19,312.0
2024-11-20,329.0
2024-11-21,311.0
2024-11-22,302.0
2024-11-23,339.0
2024-11-24,389.0
2024-11-25,378.0
2024-11-26,329.0
2024-11-27,306.0
2024-11-28,368.0
2024-11-29,337.0
2024-11-30,349.0
2024-12-01,394.0
2024-12-02,401.0
2024-12-03,344.0
2024-12-04,349.0
2024-12-05,352.0
2024-12-06,309.0
2024-12-07,367.0
2024-12-08,414.0
2024-12-09,388.0
2024-12-10,322.0
2024-12-11,343.0
2024-12-12,361.0
2024-12-13,369.0
2024-12-14,366.0
2024-12-15,426.0
2024-12-16,411.0
2024-12-17,386.0
2024-12-18,433.0
2024-12-19,403.0
2024-12-20,355.0
2024-12-21,359.0
2024-12-22,384.0
2024-12-23,376.0
2024-12-24,325.0
2024-12-25,343.0
2024-12-26,470.0
2024-12-27,419.0
2024-12-28,377.0
2024-12-29,386.0
2024-12-30,343.0
2024-12-31,350.0
2025-01-01,372.0
2025-01-02,335.0
2025-01-03,332.0
2025-01-04,315.0
2025-01-05,357.0
2025-01-06,370.0
2025-01-07,288.0
2025-01-08,267.0
2025-01-09,245.0
2025-01-10,220.0
2025-01-11,218.0
2025-01-12,217.0
2025-01-13,226.0
2025-01-14,230.0
2025-01-15,225.0
2025-01-16,209.0
2025-01-17,250.0
2025-01-18,220.0
2025-01-19,246.0
2025-01-20,241.0
2025-01-21,216.0
2025-01-22,257.0
2025-01-23,268.0
2025-01-24,249.0
2025-01-25,232.0
2025-01-26,287.0
2025-01-27,266.0
2025-01-28,249.0
2025-01-29,234.0
2025-01-30,252.0
2025-01-31,220.0
2025-02-01,210.0
2025-02-02,261.0
2025-02-03,251.0
2025-02-04,223.0
2025-02-05,204.0
2025-02-06,229.0
2025-02-07,249.0
2025-02-08,217.0
2025-02-09,236.0
2025-02-10,274.0
2025-02-11,240.0
2025-02-12,244.0
2025-02-13,208.0
2025-02-14,223.0
2025-02-15,212.0
2025-02-16,244.0
2025-02-17,240.0
2025-02-18,260.0
2025-02-19,224.0
2025-02-20,255.0
2025-02-21,244.0
2025-02-22,254.0
2025-02-23,248.0
2025-02-24,249.0
2025-02-25,215.0
2025-02-26,236.0
2025-02-27,213.0
2025-02-28,212.0
