Daily Mean data	    supplied by UK-air on 14/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Birmingham A4540 Roadside",,"Birmingham Ladywood",,"Shrewsbury Underdale",
Latitude,52.476145,,52.481346,,52.715083,,
Longitude,-1.874978,,-1.918235,,-2.726833,,
Site Type,Urban Traffic,,Urban Background,,Urban Background,,
Zone,West Midlands,,West Midlands,,West Midlands,,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,,
Local Authority,"Birmingham",,"Birmingham",,"Shropshire",,
Date,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status
2024-09-11,1.04,V ugm-3,0.33,V ugm-3,0.5,V ugm-3
2024-09-12,1.44,V ugm-3,0.71,V ugm-3,0.48,V ugm-3
2024-09-13,2.75,V ugm-3,1.07,V ugm-3,0.73,V ugm-3
2024-09-14,2.09,V ugm-3,0.68,V ugm-3,0.25,V ugm-3
2024-09-15,1.7,V ugm-3,0.52,V ugm-3,0.36,V ugm-3
2024-09-16,1.71,V ugm-3,1.22,V ugm-3,1.48,V ugm-3
2024-09-17,2.24,V ugm-3,1.15,V ugm-3,1.1,V ugm-3
2024-09-18,0.82,V ugm-3,0.63,V ugm-3,0.59,V ugm-3
2024-09-19,0.99,V ugm-3,1,V ugm-3,0.98,V ugm-3
2024-09-20,1.55,V ugm-3,1.39,V ugm-3,1.28,V ugm-3
2024-09-21,1.78,V ugm-3,1.4,V ugm-3,1.1,V ugm-3
2024-09-22,1.16,V ugm-3,1.11,V ugm-3,1.07,V ugm-3
2024-09-23,1.83,V ugm-3,1.2,V ugm-3,1.01,V ugm-3
2024-09-24,1.49,V ugm-3,0.81,V ugm-3,0.52,V ugm-3
2024-09-25,2,V ugm-3,0.6,V ugm-3,0.61,V ugm-3
2024-09-26,No data,V ugm-3,0.52,V ugm-3,0.48,V ugm-3
2024-09-27,1.1,V ugm-3,0.39,V ugm-3,0.31,V ugm-3
2024-09-28,2.13,V ugm-3,0.73,V ugm-3,0.62,V ugm-3
2024-09-29,1.35,V ugm-3,0.65,V ugm-3,0.52,V ugm-3
2024-09-30,1.33,V ugm-3,0.5,V ugm-3,0.48,V ugm-3
2024-10-01,1.22,V ugm-3,0.64,V ugm-3,0.57,V ugm-3
2024-10-02,0.87,V ugm-3,0.53,V ugm-3,0.55,V ugm-3
2024-10-03,1.9,V ugm-3,1.38,V ugm-3,1.73,V ugm-3
2024-10-04,3.12,V ugm-3,0.99,V ugm-3,1.46,V ugm-3
2024-10-05,1.72,V ugm-3,0.85,V ugm-3,0.74,V ugm-3
2024-10-06,1.25,V ugm-3,0.8,V ugm-3,0.9,V ugm-3
2024-10-07,1.53,V ugm-3,0.54,V ugm-3,0.33,V ugm-3
2024-10-08,1.32,V ugm-3,No data,V ugm-3,0.51,V ugm-3
2024-10-09,No data,V ugm-3,No data,V ugm-3,0.67,V ugm-3
2024-10-10,1.29,V ugm-3,0.7,V ugm-3,0.86,V ugm-3
2024-10-11,4.2,V ugm-3,1.17,V ugm-3,0.89,V ugm-3
2024-10-12,2.02,V ugm-3,0.62,V ugm-3,0.87,V ugm-3
2024-10-13,1.33,V ugm-3,0.6,V ugm-3,0.58,V ugm-3
2024-10-14,1.45,V ugm-3,1.12,V ugm-3,0.93,V ugm-3
2024-10-15,1.45,V ugm-3,1.16,V ugm-3,0.88,V ugm-3
2024-10-16,2,V ugm-3,1.23,V ugm-3,1.18,V ugm-3
2024-10-17,2.93,V ugm-3,0.6,V ugm-3,0.51,V ugm-3
2024-10-18,1.89,V ugm-3,0.43,V ugm-3,0.46,V ugm-3
2024-10-19,2.43,V ugm-3,0.84,V ugm-3,0.55,V ugm-3
2024-10-20,0.86,V ugm-3,0.22,V ugm-3,0.21,V ugm-3
2024-10-21,2.32,V ugm-3,0.49,V ugm-3,0.29,V ugm-3
2024-10-22,2.71,V ugm-3,0.87,V ugm-3,1.15,V ugm-3
2024-10-23,2.25,V ugm-3,0.62,V ugm-3,0.6,V ugm-3
2024-10-24,1.42,V ugm-3,0.79,V ugm-3,0.68,V ugm-3
2024-10-25,3.16,V ugm-3,1.55,V ugm-3,1.3,V ugm-3
2024-10-26,3.83,V ugm-3,1.37,V ugm-3,0.95,V ugm-3
2024-10-27,1.37,V ugm-3,No data,V ugm-3,0.33,V ugm-3
2024-10-28,No data,V ugm-3,No data,V ugm-3,0.4,V ugm-3
2024-10-29,No data,V ugm-3,1.04,V ugm-3,0.65,V ugm-3
2024-10-30,No data,V ugm-3,0.86,V ugm-3,0.39,V ugm-3
2024-10-31,3.56,V ugm-3,1.18,V ugm-3,1.39,V ugm-3
2024-11-01,1.93,V ugm-3,1.12,V ugm-3,1.28,V ugm-3
2024-11-02,2.17,V ugm-3,1.82,V ugm-3,1.58,V ugm-3
2024-11-03,1.15,V ugm-3,0.83,V ugm-3,1.14,V ugm-3
2024-11-04,1.81,V ugm-3,1.15,V ugm-3,1.47,V ugm-3
2024-11-05,2.55,V ugm-3,1.38,V ugm-3,1.54,V ugm-3
2024-11-06,2.55,V ugm-3,2.02,V ugm-3,1.4,V ugm-3
2024-11-07,1.51,V ugm-3,1.04,V ugm-3,0.7,V ugm-3
2024-11-08,2.04,V ugm-3,1.74,V ugm-3,1.85,V ugm-3
2024-11-09,2.7,V ugm-3,1.58,V ugm-3,2.24,V ugm-3
2024-11-10,2.76,V ugm-3,1.32,V ugm-3,1.26,V ugm-3
2024-11-11,2.3,V ugm-3,1.46,V ugm-3,2.08,V ugm-3
2024-11-12,1.62,V ugm-3,1.32,V ugm-3,1.8,V ugm-3
2024-11-13,2.56,V ugm-3,2,V ugm-3,1.9,V ugm-3
2024-11-14,4.05,V ugm-3,1.56,V ugm-3,3.33,V ugm-3
2024-11-15,4,V ugm-3,1.25,V ugm-3,2,V ugm-3
2024-11-16,1.69,V ugm-3,0.61,V ugm-3,0.71,V ugm-3
2024-11-17,1.29,V ugm-3,0.48,V ugm-3,0.96,V ugm-3
2024-11-18,1.54,V ugm-3,1.13,V ugm-3,0.96,V ugm-3
2024-11-19,1.89,V ugm-3,1.09,V ugm-3,1.18,V ugm-3
2024-11-20,2.03,V ugm-3,1.08,V ugm-3,0.75,V ugm-3
2024-11-21,4.78,V ugm-3,2.03,V ugm-3,1.61,V ugm-3
2024-11-22,2.03,V ugm-3,0.71,V ugm-3,1.23,V ugm-3
2024-11-23,1.14,V ugm-3,0.39,V ugm-3,0.31,V ugm-3
2024-11-24,0.94,V ugm-3,0.21,V ugm-3,0.13,V ugm-3
2024-11-25,1.05,V ugm-3,0.26,V ugm-3,0.23,V ugm-3
2024-11-26,4.28,V ugm-3,1.39,V ugm-3,1.91,V ugm-3
2024-11-27,2.28,V ugm-3,2,V ugm-3,3.03,V ugm-3
2024-11-28,No data,V ugm-3,2.84,V ugm-3,2.4,V ugm-3
2024-11-29,No data,V ugm-3,0.86,V ugm-3,0.71,V ugm-3
2024-11-30,2.19,V ugm-3,0.63,V ugm-3,0.56,V ugm-3
2024-12-01,1.43,V ugm-3,0.4,V ugm-3,0.36,V ugm-3
2024-12-02,1.27,V ugm-3,0.5,V ugm-3,0.39,V ugm-3
2024-12-03,No data,V ugm-3,1.62,V ugm-3,1.22,V ugm-3
2024-12-04,No data,V ugm-3,0.89,V ugm-3,0.76,V ugm-3
2024-12-05,1.12,V ugm-3,0.23,V ugm-3,0.22,V ugm-3
2024-12-06,1.33,V ugm-3,0.37,V ugm-3,0.31,V ugm-3
2024-12-07,0.44,V ugm-3,0.12,V ugm-3,0.08,V ugm-3
2024-12-08,0.35,V ugm-3,0.18,V ugm-3,0.24,V ugm-3
2024-12-09,0.62,V ugm-3,0.34,V ugm-3,0.42,V ugm-3
2024-12-10,0.54,V ugm-3,0.33,V ugm-3,0.45,V ugm-3
2024-12-11,0.66,V ugm-3,0.35,V ugm-3,0.45,V ugm-3
2024-12-12,1.22,V ugm-3,0.79,V ugm-3,1.04,V ugm-3
2024-12-13,1.47,V ugm-3,1.05,V ugm-3,1.23,V ugm-3
2024-12-14,1.48,V ugm-3,0.65,V ugm-3,0.66,V ugm-3
2024-12-15,0.67,V ugm-3,0.21,V ugm-3,0.22,V ugm-3
2024-12-16,1.41,V ugm-3,0.37,V ugm-3,0.44,V ugm-3
2024-12-17,1.61,V ugm-3,0.44,V ugm-3,0.45,V ugm-3
2024-12-18,1.14,V ugm-3,0.35,V ugm-3,0.42,V ugm-3
2024-12-19,1.13,V ugm-3,0.61,V ugm-3,0.4,V ugm-3
2024-12-20,1.92,V ugm-3,0.54,V ugm-3,0.67,V ugm-3
2024-12-21,0.7,V ugm-3,0.19,V ugm-3,0.31,V ugm-3
2024-12-22,0.5,V ugm-3,0.16,V ugm-3,0.13,V ugm-3
2024-12-23,1.53,V ugm-3,0.55,V ugm-3,1.06,V ugm-3
2024-12-24,3.03,V ugm-3,No data,V ugm-3,0.38,V ugm-3
2024-12-25,1.41,V ugm-3,No data,V ugm-3,0.78,V ugm-3
2024-12-26,1.43,V ugm-3,No data,V ugm-3,0.48,V ugm-3
2024-12-27,1.92,V ugm-3,No data,V ugm-3,0.79,V ugm-3
2024-12-28,1.75,V ugm-3,0.74,V ugm-3,0.86,V ugm-3
2024-12-29,0.98,V ugm-3,0.32,V ugm-3,0.33,V ugm-3
2024-12-30,1.01,V ugm-3,0.27,V ugm-3,0.16,V ugm-3
2024-12-31,0.66,V ugm-3,0.17,V ugm-3,0.13,V ugm-3
2025-01-01,0.67,N ugm-3,0.33,N ugm-3,No data,N ugm-3
2025-01-02,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-03,1.81,N ugm-3,0.7,N ugm-3,1.11,N ugm-3
2025-01-04,2.8,N ugm-3,1.13,N ugm-3,1.85,N ugm-3
2025-01-05,1.49,N ugm-3,0.58,N ugm-3,No data,N ugm-3
2025-01-06,1.02,N ugm-3,0.48,N ugm-3,No data,N ugm-3
2025-01-07,1.58,N ugm-3,0.5,N ugm-3,0.7,N ugm-3
2025-01-08,5.15,N ugm-3,3.02,N ugm-3,No data,N ugm-3
2025-01-09,2.86,N ugm-3,No data,N ugm-3,1.99,N ugm-3
2025-01-10,6.56,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-11,No data,N ugm-3,6.15,N ugm-3,No data,N ugm-3
2025-01-12,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-13,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-14,No data,N ugm-3,0.89,N ugm-3,0.67,N ugm-3
2025-01-15,No data,N ugm-3,1.44,N ugm-3,2.14,N ugm-3
2025-01-16,3.02,N ugm-3,1.42,N ugm-3,2.19,N ugm-3
2025-01-17,2.21,N ugm-3,0.74,N ugm-3,1.38,N ugm-3
2025-01-18,1.7,N ugm-3,0.95,N ugm-3,0.93,N ugm-3
2025-01-19,2.38,N ugm-3,1.08,N ugm-3,1.38,N ugm-3
2025-01-20,3.4,N ugm-3,1.55,N ugm-3,2.43,N ugm-3
2025-01-21,3.25,N ugm-3,1.1,N ugm-3,1.21,N ugm-3
2025-01-22,5.2,N ugm-3,2.91,N ugm-3,1.91,N ugm-3
2025-01-23,1.93,N ugm-3,No data,N ugm-3,0.47,N ugm-3
2025-01-24,0.83,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-25,2.1,N ugm-3,0.62,N ugm-3,0.62,N ugm-3
2025-01-26,0.93,N ugm-3,0.35,N ugm-3,0.49,N ugm-3
2025-01-27,1.2,N ugm-3,0.19,N ugm-3,No data,N ugm-3
2025-01-28,1.59,N ugm-3,0.67,N ugm-3,No data,N ugm-3
2025-01-29,2.17,N ugm-3,0.81,N ugm-3,0.96,N ugm-3
2025-01-30,2.43,N ugm-3,1,N ugm-3,1.07,N ugm-3
2025-01-31,0.3,N ugm-3,0.91,N ugm-3,0.95,N ugm-3
2025-02-01,0,N ugm-3,0.78,N ugm-3,0,N ugm-3
2025-02-02,0,N ugm-3,0.6,N ugm-3,0,N ugm-3
2025-02-03,1.75,N ugm-3,0.75,N ugm-3,0,N ugm-3
2025-02-04,1.17,N ugm-3,0.25,N ugm-3,0,N ugm-3
2025-02-05,No data,N ugm-3,No data,N ugm-3,2.82,N ugm-3
2025-02-06,No data,N ugm-3,No data,N ugm-3,2.43,N ugm-3
2025-02-07,No data,N ugm-3,0.47,N ugm-3,0.57,N ugm-3
2025-02-08,1.58,N ugm-3,1.16,N ugm-3,1.27,N ugm-3
2025-02-09,No data,N ugm-3,1.77,N ugm-3,1.84,N ugm-3
2025-02-10,No data,N ugm-3,1.21,N ugm-3,1.04,N ugm-3
2025-02-11,No data,N ugm-3,1.47,N ugm-3,1.63,N ugm-3
2025-02-12,2.55,N ugm-3,2.1,N ugm-3,1.8,N ugm-3
2025-02-13,1.39,N ugm-3,1.28,N ugm-3,No data,N ugm-3
2025-02-14,1.42,N ugm-3,1.14,N ugm-3,No data,N ugm-3
2025-02-15,2.07,N ugm-3,1.77,N ugm-3,1.93,N ugm-3
2025-02-16,No data,N ugm-3,No data,N ugm-3,1.45,N ugm-3
2025-02-17,0.87,N ugm-3,1.09,N ugm-3,No data,N ugm-3
2025-02-18,No data,N ugm-3,1.28,N ugm-3,No data,N ugm-3
2025-02-19,2.78,N ugm-3,No data,N ugm-3,2.02,N ugm-3
