"Daily Mean data	    supplied by UK-air on 14/06/2025",,,,,,
All Data GMT hour ending,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,
,Birmingham A4540 Roadside,,Birmingham Ladywood,,Shrewsbury Underdale,
Latitude,52.476145,,52.481346,,52.715083,
Longitude,-1.874978,,-1.918235,,-2.726833,
Site Type,Urban Traffic,,Urban Background,,Urban Background,
Zone,West Midlands,,West Midlands,,West Midlands,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,
Local Authority,Birmingham,,Birmingham,,Shropshire,
Date,Green Particulate matter (520nm),Status,Green Particulate matter (520nm),Status,Green Particulate matter (520nm),Status
25-02-2025,1.35,N ugm-3,0.38,N ugm-3,0.35,N ugm-3
26-02-2025,1.29,N ugm-3,0.31,N ugm-3,0.33,N ugm-3
27-02-2025,1.29,N ugm-3,0.53,N ugm-3,No data,N ugm-3
28-02-2025,3.65,N ugm-3,1.07,N ugm-3,No data,N ugm-3
01-03-2025,5.05,N ugm-3,2.4,N ugm-3,3.37,N ugm-3
02-03-2025,4.84,N ugm-3,2.09,N ugm-3,No data,N ugm-3
03-03-2025,3.11,N ugm-3,1.52,N ugm-3,0.98,N ugm-3
04-03-2025,2.93,N ugm-3,1.45,N ugm-3,1.05,N ugm-3
05-03-2025,2.43,N ugm-3,No data,N ugm-3,0.89,N ugm-3
06-03-2025,3.16,N ugm-3,No data,N ugm-3,1.17,N ugm-3
07-03-2025,1.95,N ugm-3,0.84,N ugm-3,0.74,N ugm-3
08-03-2025,2.32,N ugm-3,1.5,N ugm-3,No data,N ugm-3
09-03-2025,2.5,N ugm-3,1.73,N ugm-3,No data,N ugm-3
10-03-2025,2.4,N ugm-3,2.06,N ugm-3,2.47,N ugm-3
11-03-2025,0.95,N ugm-3,0.4,N ugm-3,0.43,N ugm-3
12-03-2025,1.33,N ugm-3,0.63,N ugm-3,0.64,N ugm-3
13-03-2025,No data,N ugm-3,0.77,N ugm-3,0.46,N ugm-3
14-03-2025,No data,N ugm-3,0.83,N ugm-3,0.7,N ugm-3
15-03-2025,0.82,N ugm-3,0,N ugm-3,0.8,N ugm-3
16-03-2025,1.06,N ugm-3,0,N ugm-3,0.75,N ugm-3
17-03-2025,0.94,N ugm-3,0.28,N ugm-3,0.35,N ugm-3
18-03-2025,0.83,N ugm-3,0.6,N ugm-3,0.63,N ugm-3
19-03-2025,4.6,N ugm-3,2.91,N ugm-3,1.81,N ugm-3
20-03-2025,5.27,N ugm-3,3.42,N ugm-3,No data,N ugm-3
21-03-2025,1.59,N ugm-3,1.4,N ugm-3,No data,N ugm-3
22-03-2025,No data,N ugm-3,0.83,N ugm-3,0.85,N ugm-3
23-03-2025,No data,N ugm-3,1.15,N ugm-3,1.17,N ugm-3
24-03-2025,No data,N ugm-3,1.97,N ugm-3,1.69,N ugm-3
25-03-2025,0.83,N ugm-3,1.08,N ugm-3,0.63,N ugm-3
26-03-2025,2.09,N ugm-3,0.84,N ugm-3,0.47,N ugm-3
27-03-2025,1.36,N ugm-3,0.41,N ugm-3,0.13,N ugm-3
28-03-2025,0.91,N ugm-3,0.34,N ugm-3,0.18,N ugm-3
29-03-2025,0.94,N ugm-3,0.3,N ugm-3,0.17,N ugm-3
30-03-2025,0.78,N ugm-3,0.31,N ugm-3,0.34,N ugm-3
31-03-2025,No data,N ugm-3,1.05,N ugm-3,1.62,N ugm-3
01-04-2025,No data,N ugm-3,0.48,N ugm-3,No data,N ugm-3
02-04-2025,0.75,N ugm-3,0.52,N ugm-3,No data,N ugm-3
03-04-2025,1.26,N ugm-3,1.11,N ugm-3,No data,N ugm-3
04-04-2025,0.91,N ugm-3,0.84,N ugm-3,0.68,N ugm-3
05-04-2025,0.65,N ugm-3,0.33,N ugm-3,0.27,N ugm-3
06-04-2025,0.71,N ugm-3,0.37,N ugm-3,0.26,N ugm-3
07-04-2025,0.91,N ugm-3,0.58,N ugm-3,0.58,N ugm-3
08-04-2025,1.28,N ugm-3,0.86,N ugm-3,No data,N ugm-3
09-04-2025,1.16,N ugm-3,0.82,N ugm-3,No data,N ugm-3
10-04-2025,2.07,N ugm-3,No data,N ugm-3,No data,N ugm-3
11-04-2025,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
12-04-2025,2.74,N ugm-3,1.28,N ugm-3,1.2,N ugm-3
13-04-2025,1.29,N ugm-3,0.52,N ugm-3,0.28,N ugm-3
14-04-2025,1.45,N ugm-3,No data,N ugm-3,0.19,N ugm-3
15-04-2025,1.08,N ugm-3,No data,N ugm-3,0.69,N ugm-3
16-04-2025,0.8,N ugm-3,No data,N ugm-3,0.2,N ugm-3
17-04-2025,1.65,N ugm-3,No data,N ugm-3,0.41,N ugm-3
18-04-2025,1.14,N ugm-3,No data,N ugm-3,0.48,N ugm-3
19-04-2025,1.3,N ugm-3,No data,N ugm-3,No data,N ugm-3
20-04-2025,0.69,N ugm-3,No data,N ugm-3,No data,N ugm-3
21-04-2025,1.36,N ugm-3,No data,N ugm-3,No data,N ugm-3
22-04-2025,1.48,N ugm-3,No data,N ugm-3,No data,N ugm-3
